index,username,date,retweets,favorites,text,emotion,emotion_probability
2000,realDonaldTrump,27.09.19 01:02,23099,96945,"The President of Ukraine said that he was NOT pressured by me to do anything wrong. Can’t have better testimony than that! As V.P., Biden had his son, on the other hand, take out millions of dollars by strong arming the Ukrainian President. Also looted millions from China. Bad!",joy,0.360345
2001,realDonaldTrump,27.09.19 01:01,13271,55921,No one has done more behind the scenes for STRONG BORDER SECURITY than @SenCapito . Her bill passed Committee today with $5B for the BORDER WALL. West Virginia is a great State and Shelley gets it done. Keep it up!,joy,0.598367
2002,realDonaldTrump,27.09.19 00:58,9586,45362,"Congratulations to my friend @SenShelby , our powerful Appropriations Chairman, for his hard work on many strong bills that continue to rebuild our military, invest in border security, and many other priorities. Good work and keep fighting, you are winning!",joy,0.799805
2003,realDonaldTrump,26.09.19 20:13,29786,119288,"Liddle’ Adam Schiff, who has worked unsuccessfully for 3 years to hurt the Republican Party and President, has just said that the Whistleblower, even though he or she only had second hand information, “is credible.” How can that be with zero info and a known bias. Democrat Scam!",sadness,0.549624
2004,realDonaldTrump,26.09.19 18:48,18882,86062,Adam Schiff has zero credibility. Another fantasy to hurt the Republican Party!,sadness,0.559756
2005,realDonaldTrump,26.09.19 18:43,16274,72932,"A whistleblower with second hand information? Another Fake News Story! See what was said on the very nice, no pressure, call. Another Witch Hunt!",disgust,0.503145
2006,realDonaldTrump,26.09.19 18:37,11122,42598,"That, and many other reasons, is why Republicans will win North Carolina! https:// twitter.com/JudicialWatch/ status/1177259032412921859 …",joy,0.367672
2007,realDonaldTrump,26.09.19 18:21,15281,70862,"“Is there a case for impeachment? Absolutely not! There is no high crime or misdemeanor, no crime, no extortion, no treason.” Robert Ray @FoxNews",anger,0.271889
2008,realDonaldTrump,26.09.19 13:24,20077,99542,THE GREATEST SCAM IN THE HISTORY OF AMERICAN POLITICS!,disgust,0.549165
2009,realDonaldTrump,26.09.19 13:17,7257,35192,Thank you Jim! https:// twitter.com/Jim_Jordan/sta tus/1176880040761614339 …,joy,0.461482
2010,realDonaldTrump,26.09.19 13:14,7533,32871,If they actually did this the markets would crash. Do you think it was luck that got us to the best Stock Market and Economy in our history. It wasn’t! https:// twitter.com/MariaBartiromo /status/1176854652823973893 …,joy,0.505371
2011,realDonaldTrump,26.09.19 13:08,10946,42981,So bad for our Country! https:// twitter.com/joegooding/sta tus/1176667137831837696 …,sadness,0.632068
2012,realDonaldTrump,26.09.19 13:06,14854,88062,"So cute! Her father is under siege, for no reason, since his first day in office! https:// twitter.com/IvankaTrump/st atus/1176833811625185280 …",joy,0.844741
2013,realDonaldTrump,26.09.19 04:46,19019,80964,One of our best fundraising days EVER! https:// twitter.com/DanScavino/sta tus/1176687762768048128 …,joy,0.903715
2014,realDonaldTrump,26.09.19 04:45,14848,59027,"So true, but it will never work! https:// twitter.com/realDonaldTrum p/status/1176686526006276097 …",sadness,0.653486
2017,realDonaldTrump,25.09.19 22:17,20753,86375,"....taken out of Ukraine and China. Additionally, I demand transparency from Democrats that went to Ukraine and attempted to force the new President to do things that they wanted under the form of political threat.",sadness,0.526541
2018,realDonaldTrump,25.09.19 22:17,25087,101167,"I have informed @GOPLeader Kevin McCarthy and all Republicans in the House that I fully support transparency on so-called whistleblower information but also insist on transparency from Joe Biden and his son Hunter, on the millions of dollars that have been quickly and easily....",disgust,0.455587
2019,realDonaldTrump,25.09.19 20:13,22027,72999,Wow! “Ukraine Whistleblower’s lead attorney donated to Biden.” @FreeBeacon,joy,0.47131
2022,realDonaldTrump,25.09.19 17:56,9416,45423,“He (President Trump) didn’t specifically mention the explicit quid pro quo of…unless you investigate this…we’re going to withhold military aid to you.” Pamela Brown,sadness,0.361051
2024,realDonaldTrump,25.09.19 17:25,9543,46087,“You don’t see a direct quid pro quo in this.” @BretBaier,sadness,0.238268
2025,realDonaldTrump,25.09.19 16:58,22586,65450,“Democrats wrote to the Ukrainian government in May 2018 urging it to continue investigations into President Donald Trump’s alleged collusion with Russia in the 2016 presidential campaign — collusion later found NOT TO EXIST.” https://www. breitbart.com/politics/2019/ 09/24/democrats-wrote-to-ukraine-in-may-demanding-it-investigate-trump/ …,disgust,0.598234
2027,realDonaldTrump,25.09.19 15:17,26287,119137,"Will the Democrats apologize after seeing what was said on the call with the Ukrainian President? They should, a perfect call - got them by surprise!",joy,0.364108
2028,realDonaldTrump,25.09.19 15:11,13106,54618,"“The Democrats have been talking about Impeaching Donald Trump since before he was inaugurated.” @SteveDoocy @foxandfriends And for no reason other than the great success we are having with the Economy, the Military, Vets, Tax and Regulation Cuts, HealthCare, and so much more!",joy,0.447069
2029,realDonaldTrump,25.09.19 13:24,36260,187566,There has been no President in the history of our Country who has been treated so badly as I have. The Democrats are frozen with hatred and fear. They get nothing done. This should never be allowed to happen to another President. Witch Hunt!,fear,0.521428
2030,realDonaldTrump,25.09.19 13:14,15152,63872,"Great new book by the brilliant Andrew McCarthy, BALL OF COLLUSION, THE PLOT TO RIG AN ELECTION AND DESTROY A PRESIDENCY. Get it, and some other great new books which I will soon be recommending. They tell you about the Crooked Pols and the Witch Hunt that has now been exposed!",joy,0.531536
2031,realDonaldTrump,25.09.19 05:41,10591,41243,Thank you @LouDobbs and @JudgeJeanine ! pic.twitter.com/LdfGFvAJNF,joy,0.880435
2032,realDonaldTrump,25.09.19 05:37,10537,39328,Thank you @kevinomccarthy ! pic.twitter.com/DhcGpWEOME,joy,0.880435
2033,realDonaldTrump,25.09.19 05:34,11253,45024,"“He (Trump) has already been suffering from this type of a Witch Hunt since before his Inauguration. If it’s not one thing, it’s another. It’s a DISGRACE!” @pnjaban @LouDobbs pic.twitter.com/9I9kXo2B8V",disgust,0.60113
2034,realDonaldTrump,25.09.19 05:17,13094,51765,Sooooo true @LindseyGrahamSC ! pic.twitter.com/ZzFwXHV5ua,joy,0.583397
