username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;09.02.20 00:47;13459;72445;A great coach and a fantastic guy. His endorsement of me in Indiana was a very big deal! https:// twitter.com/kyle__boone/st atus/1226234981808250880 …;;;;1,23E+18;https://twitter.com/realDonaldTrump/status/1226291413610045443
realDonaldTrump;08.02.20 22:08;47880;215503;Pete Rose played Major League Baseball for 24 seasons, from 1963-1986, and had more hits, 4,256, than any other player (by a wide margin). He gambled, but only on his own team winning, and paid a decades long price. GET PETE ROSE INTO THE BASEBALL HALL OF FAME. It’s Time!;;;;1,23E+18;https://twitter.com/realDonaldTrump/status/1226251504086065152
realDonaldTrump;08.02.20 20:48;9452;37402;Total and complete Endorsement for Debbie Lesko! @RepDLesko Love Arizona. https:// twitter.com/repdlesko/stat us/1225484090754899969 …;;#NAME?;;1,23E+18;https://twitter.com/realDonaldTrump/status/1226231262928678915
realDonaldTrump;08.02.20 20:40;17545;62484;Governor Cuomo wanted to see me this weekend. He just canceled. Very hard to work with New York - So stupid. All they do is sue me all the time! https:// twitter.com/RepStefanik/st atus/1225494053913079808 …;;;;1,23E+18;https://twitter.com/realDonaldTrump/status/1226229268830662656
realDonaldTrump;08.02.20 20:01;27437;120598;We will not be touching your Social Security or Medicare in Fiscal 2021 Budget. Only the Democrats will destroy them by destroying our Country’s greatest ever Economy!;;;;1,23E+18;https://twitter.com/realDonaldTrump/status/1226219499847811072
realDonaldTrump;08.02.20 19:43;11595;51483;...the worst weeks ever.” She could have had a much better week if Crazy Nancy, who is the most overrated person in politics (going to lose the House a second time), didn’t bring the phony & corrupt Impeachment Hoax. Dems can’t do anything right, just look at the Iowa vote count!;;;;1,23E+18;https://twitter.com/realDonaldTrump/status/1226214932494114816
realDonaldTrump;08.02.20 19:43;12716;53876;. @RepDebDingell , who called me, tears flowing, to thank me for rolling out the maximum “Red Carpet” for the funeral of her husband, then voted against me on the partisan Impeachmen Hoax, said “everybody (Dems) wants to get out of town. This has been, in my whole career, one of...;;#NAME?;;1,23E+18;https://twitter.com/realDonaldTrump/status/1226214925246324736
realDonaldTrump;08.02.20 16:30;16359;64922;The only way to stop the crazed Radical Left, Do Nothing Democrats “is for the Republican Senate to run an offense here”. @LeeSmithDC @IngrahamAngle @FoxNews So true, although the Dems Hoaxes & Witch Hunts have driven up Republican Polls, and mine, mightily!;;#NAME?;;1,23E+18;https://twitter.com/realDonaldTrump/status/1226166432431558656
realDonaldTrump;08.02.20 16:16;26086;118446;Crazy Nancy Pelosi’s Impeachment Hoax has lifted Republican Congressional Polls (she lost the House once before!), and my Polls, WAY UP, which was expected, but it has had a great effect on Republican Senate races, including North Carolina, Kentucky, Colorado and Arizona. Thanks!;;;;1,23E+18;https://twitter.com/realDonaldTrump/status/1226162962873962503
realDonaldTrump;08.02.20 16:03;17840;74116;Thank you Iowa for the RECORD vote we just received in the Primary. The Dems were 25% down (although their votes are all fried!). https:// twitter.com/realdonaldtrum p/status/1223077157779464195 …;;;;1,23E+18;https://twitter.com/realDonaldTrump/status/1226159743456161795
realDonaldTrump;08.02.20 15:41;20284;89643;....was given a horrendous report by his superior, the man he reported to, who publicly stated that Vindman had problems with judgement, adhering to the chain of command and leaking information. In other words, “OUT”.;;;;1,23E+18;https://twitter.com/realDonaldTrump/status/1226154003551178752
realDonaldTrump;08.02.20 15:41;27358;115101;Fake News @CNN & MSDNC keep talking about “Lt. Col.” Vindman as though I should think only how wonderful he was. Actually, I don’t know him, never spoke to him, or met him (I don’t believe!) but, he was very insubordinate, reported contents of my “perfect” calls incorrectly, &...;;#NAME?;;1,23E+18;https://twitter.com/realDonaldTrump/status/1226154000971681795
realDonaldTrump;08.02.20 13:23;10606;46018;Not good! https:// twitter.com/Cernovich/stat us/1225971069325955074 …;;;;1,23E+18;https://twitter.com/realDonaldTrump/status/1226119343957856256
realDonaldTrump;08.02.20 04:09;37681;133766;pic.twitter.com/gsZyUFlTPJ;;;;1,23E+18;https://twitter.com/realDonaldTrump/status/1225979868221001733
realDonaldTrump;08.02.20 00:26;29833;111389;After years building up other countries, we are finally rebuilding OUR Country. From our inner cities to our rural communities, the forgotten men and women of America are forgotten NO LONGER! #OpportunityNow pic.twitter.com/qShbwaCaPd;;;#OpportunityNow;1,23E+18;https://twitter.com/realDonaldTrump/status/1225923945691537408
realDonaldTrump;07.02.20 22:57;17793;76275;....always continue. Every Republican Senator except Romney, many highly religious people, all very smart, voted against the Impeachment Hoax. @SenCapito was all in (a great person). I was told by many that Manchin was just a puppet for Schumer & Pelosi. That’s all he is!;;#NAME?;;1,23E+18;https://twitter.com/realDonaldTrump/status/1225901404600049664
realDonaldTrump;07.02.20 22:57;26557;123274;I was very surprised & disappointed that Senator Joe Manchin of West Virginia voted against me on the Democrat’s totally partisan Impeachment Hoax. No President has done more for the great people of West Virginia than me (Pensions), and that will....;;;;1,23E+18;https://twitter.com/realDonaldTrump/status/1225901400573513728
realDonaldTrump;07.02.20 21:00;17522;75493;Great to be in Charlotte, North Carolina as we expand and grow this unprecedented economic momentum. Today, we launched a brand new nationwide campaign to revitalize under-served cities and towns across America – it’s called OPPORTUNITY NOW! https://www. pscp.tv/w/cQ25GzEyMzE3 NDF8MXlvSk1hTlptV2VKUZ3mUyAZiis9zQFLyoAHCO1GHWfoBc2SB7sZpWx5qJsH?t=3s …;;;;1,23E+18;https://twitter.com/realDonaldTrump/status/1225872068832628737
realDonaldTrump;07.02.20 18:51;33308;162857;Another win just in. Nervous Nancy Pelosi and the Democrats in Congress sued me, thrown out. This one unanimous, in the D.C. Circuit. Witch Hunt!;;;;1,23E+18;https://twitter.com/realDonaldTrump/status/1225839566197641216
realDonaldTrump;07.02.20 17:45;13384;52700;JOBS, JOBS, JOBS! #PromisesMadePromisesKept pic.twitter.com/yIOxpzCNb7;;;#PromisesMadePromisesKept;1,23E+18;https://twitter.com/realDonaldTrump/status/1225822965788532737
