index,username,date,retweets,favorites,text,emotion,emotion_probability
0,realDonaldTrump,09.02.20 00:47,13459,72445,A great coach and a fantastic guy. His endorsement of me in Indiana was a very big deal! https:// twitter.com/kyle__boone/st atus/1226234981808250880 …,joy,0.887483
1,realDonaldTrump,08.02.20 22:08,47880,215503,"Pete Rose played Major League Baseball for 24 seasons, from 1963-1986, and had more hits, 4,256, than any other player (by a wide margin). He gambled, but only on his own team winning, and paid a decades long price. GET PETE ROSE INTO THE BASEBALL HALL OF FAME. It’s Time!",sadness,0.320811
2,realDonaldTrump,08.02.20 20:48,9452,37402,Total and complete Endorsement for Debbie Lesko! @RepDLesko Love Arizona. https:// twitter.com/repdlesko/stat us/1225484090754899969 …,joy,0.75568
3,realDonaldTrump,08.02.20 20:40,17545,62484,Governor Cuomo wanted to see me this weekend. He just canceled. Very hard to work with New York - So stupid. All they do is sue me all the time! https:// twitter.com/RepStefanik/st atus/1225494053913079808 …,sadness,0.49140900000000004
4,realDonaldTrump,08.02.20 20:01,27437,120598,We will not be touching your Social Security or Medicare in Fiscal 2021 Budget. Only the Democrats will destroy them by destroying our Country’s greatest ever Economy!,anger,0.648076
5,realDonaldTrump,08.02.20 19:43,11595,51483,"...the worst weeks ever.” She could have had a much better week if Crazy Nancy, who is the most overrated person in politics (going to lose the House a second time), didn’t bring the phony & corrupt Impeachment Hoax. Dems can’t do anything right, just look at the Iowa vote count!",sadness,0.532705
6,realDonaldTrump,08.02.20 19:43,12716,53876,". @RepDebDingell , who called me, tears flowing, to thank me for rolling out the maximum “Red Carpet” for the funeral of her husband, then voted against me on the partisan Impeachmen Hoax, said “everybody (Dems) wants to get out of town. This has been, in my whole career, one of...",sadness,0.533324
7,realDonaldTrump,08.02.20 16:30,16359,64922,"The only way to stop the crazed Radical Left, Do Nothing Democrats “is for the Republican Senate to run an offense here”. @LeeSmithDC @IngrahamAngle @FoxNews So true, although the Dems Hoaxes & Witch Hunts have driven up Republican Polls, and mine, mightily!",disgust,0.743
8,realDonaldTrump,08.02.20 16:16,26086,118446,"Crazy Nancy Pelosi’s Impeachment Hoax has lifted Republican Congressional Polls (she lost the House once before!), and my Polls, WAY UP, which was expected, but it has had a great effect on Republican Senate races, including North Carolina, Kentucky, Colorado and Arizona. Thanks!",disgust,0.34827600000000003
9,realDonaldTrump,08.02.20 16:03,17840,74116,Thank you Iowa for the RECORD vote we just received in the Primary. The Dems were 25% down (although their votes are all fried!). https:// twitter.com/realdonaldtrum p/status/1223077157779464195 …,joy,0.476479
10,realDonaldTrump,08.02.20 15:41,20284,89643,"....was given a horrendous report by his superior, the man he reported to, who publicly stated that Vindman had problems with judgement, adhering to the chain of command and leaking information. In other words, “OUT”.",anger,0.478684
11,realDonaldTrump,08.02.20 15:41,27358,115101,"Fake News @CNN & MSDNC keep talking about “Lt. Col.” Vindman as though I should think only how wonderful he was. Actually, I don’t know him, never spoke to him, or met him (I don’t believe!) but, he was very insubordinate, reported contents of my “perfect” calls incorrectly, &...",joy,0.8257459999999999
12,realDonaldTrump,08.02.20 13:23,10606,46018,Not good! https:// twitter.com/Cernovich/stat us/1225971069325955074 …,,1.0
14,realDonaldTrump,08.02.20 00:26,29833,111389,"After years building up other countries, we are finally rebuilding OUR Country. From our inner cities to our rural communities, the forgotten men and women of America are forgotten NO LONGER! #OpportunityNow pic.twitter.com/qShbwaCaPd",joy,0.709391
15,realDonaldTrump,07.02.20 22:57,17793,76275,"....always continue. Every Republican Senator except Romney, many highly religious people, all very smart, voted against the Impeachment Hoax. @SenCapito was all in (a great person). I was told by many that Manchin was just a puppet for Schumer & Pelosi. That’s all he is!",joy,0.517178
16,realDonaldTrump,07.02.20 22:57,26557,123274,"I was very surprised & disappointed that Senator Joe Manchin of West Virginia voted against me on the Democrat’s totally partisan Impeachment Hoax. No President has done more for the great people of West Virginia than me (Pensions), and that will....",sadness,0.436763
17,realDonaldTrump,07.02.20 21:00,17522,75493,"Great to be in Charlotte, North Carolina as we expand and grow this unprecedented economic momentum. Today, we launched a brand new nationwide campaign to revitalize under-served cities and towns across America – it’s called OPPORTUNITY NOW! https://www. pscp.tv/w/cQ25GzEyMzE3 NDF8MXlvSk1hTlptV2VKUZ3mUyAZiis9zQFLyoAHCO1GHWfoBc2SB7sZpWx5qJsH?t=3s …",joy,0.752801
18,realDonaldTrump,07.02.20 18:51,33308,162857,"Another win just in. Nervous Nancy Pelosi and the Democrats in Congress sued me, thrown out. This one unanimous, in the D.C. Circuit. Witch Hunt!",disgust,0.521209
19,realDonaldTrump,07.02.20 17:45,13384,52700,"JOBS, JOBS, JOBS! #PromisesMadePromisesKept pic.twitter.com/yIOxpzCNb7",joy,0.19712000000000002
20,realDonaldTrump,07.02.20 17:36,13900,74823,Iowa and New Hampshire will not be moved from the Primary Schedule as long as I am President. Great tradition!,joy,0.747269
21,realDonaldTrump,07.02.20 17:34,9306,61600,Off to North Carolina! pic.twitter.com/dreH1rw3sz,joy,0.201748
22,realDonaldTrump,07.02.20 17:31,27151,151477,"The Democrat Party has given up on counting votes in Iowa. Looks like it all got computer “fried”. Nobody knows who the real winner is. Maybe it’s Sleepy Joe, but it’s not looking that way. They lost millions & millions of dollars, all for NOTHING. But I WON Iowa big!",joy,0.580439
24,realDonaldTrump,07.02.20 13:59,26006,109143,"I think they should blame RUSSIA, RUSSIA, RUSSIA again! If they can’t count votes properly, how are they going to run U.S. HealthCare? https:// twitter.com/ap_politics/st atus/1225562507949068289 …",sadness,0.39914099999999997
25,realDonaldTrump,07.02.20 13:55,33230,151869,Welcome back James! https:// twitter.com/realDailyWire/ status/1225634557677801474 …,joy,0.306483
26,realDonaldTrump,07.02.20 13:47,10926,50145,"Very true, thank you Ted & John. I love Texas! https:// twitter.com/SenTedCruz/sta tus/1225600065005408256 …",joy,0.9048959999999999
27,realDonaldTrump,07.02.20 13:39,6653,31146,So do I! https:// twitter.com/lindseygrahams c/status/1225432527290142720 …,,1.0
